Time,Longitude,Latitude,Altitude,Solar Intensity,Magnetic Field X,Magnetic Field Y,Magnetic Field Z
2460369.013381759,-80.90482205553613,44.38302652892139,455.9208210139814,1387.330726842631,18181.07616653283,-3067.9226864087027,50267.88569800527
2460369.015696574,-67.82772936119892,37.05322420662485,454.00779723661805,1387.3561898822757,22366.494447067045,-5712.297461446483,41963.90992789015
2460369.018011389,-57.38369078570986,28.38460787800579,451.88984311339846,1387.3801049999856,25824.799561984946,-6999.577261637756,30788.161993958503
2460369.0203262037,-48.708010958153466,18.915944086760152,450.03912257249345,1387.401198341804,28058.953845875883,-7969.591842487939,17995.02615025422
2460369.0226410185,-41.07042181896087,9.003236261186757,448.87222431192885,1387.418335708742,28095.065078297226,-8681.774772208239,3586.2091186318667
2460369.0249558333,-33.88778239023224,-1.0990948158567277,448.6639839748429,1387.430580389797,24293.91461899094,-8299.900525999681,-9827.78298986594
2460369.027270648,-26.651484368574316,-11.17830173290051,449.48947339310524,1387.4372412405241,18171.451408495344,-7132.385795415136,-18378.783621428152
2460369.029585463,-18.84398682527403,-21.0169072193861,451.2069814131965,1387.4379080065648,12761.06178353507,-5795.346196781804,-22222.673913242426
2460369.031900278,-9.855932638721146,-30.344644288581854,453.4858596831953,1387.4324717409183,9258.276540464622,-4225.694270980107,-22928.284507978515
2460369.0342150927,1.078246869278845,-38.77407326057689,455.87303851758406,1387.4211292935495,8621.018165966303,-3666.1522940162217,-21730.25304876969
2460369.0365299075,14.824444489463968,-45.71696263475987,457.8837466327352,1387.404372038487,10390.08697359754,-6052.071741168192,-22024.921517182698
2460369.0388447223,31.87993859282263,-50.341440711619576,459.0975981344274,1387.3829600168453,11549.072119946644,-10864.2237234051,-26838.345415526026
2460369.041159537,51.31644903604611,-51.775589528070476,459.2412597006961,1387.3578833621646,10380.749104895513,-14738.736626894144,-35976.480119816006
2460369.043474352,70.4638432801858,-49.671998280465345,458.2425059658049,1387.3303132164974,9314.922870244374,-14469.818010232188,-46431.697514320425
2460369.045789167,86.89544780959898,-44.52423412964042,456.2461829253595,1387.3015444491691,11753.148239971375,-10401.017205142285,-53997.547672273984
2460369.0481039817,100.0404459808828,-37.23176983318743,453.58924010051334,1387.27293253276,17963.642633803145,-5155.409127717057,-55504.50101494476
2460369.0504187965,110.5354943955381,-28.58384021329004,450.73887191551063,0.0,25864.050618872585,-1142.077519242454,-49971.05308122301
2460369.0527336113,119.24533737739885,-19.123961161267044,448.2044286014628,0.0,32807.76658243522,548.7429431358921,-38775.56076841682
2460369.055048426,126.90377941899817,-9.211465597397668,446.4393063772581,0.0,37033.607210654314,690.6362685315866,-24649.876628942246
2460369.0573632405,134.09684681510362,0.8971453969280172,445.75217151301047,0.0,38278.651866787026,459.78059281700854,-9724.201262970399
2460369.0596780553,141.33463102501395,10.987890838573161,446.24615152408796,0.0,36883.12347378944,54.40528378046547,4497.876434183287
2460369.06199287,149.1348108531999,20.842729276307065,447.79933897367596,0.0,33707.47335053547,-440.2705426333217,16472.796972629996
2460369.064307685,158.10577794800014,30.19156969182075,450.09095630161704,0.0,30061.82771544066,-483.9658500490114,25775.961690415752
2460369.0666225,169.01190862604028,38.648120235140254,452.6672464029659,0.0,26719.244155444776,228.3266647006667,33066.776202161855
2460369.0689373147,-177.27903703754689,45.62625397633105,455.03259683174224,0.0,23869.164807702156,1734.012893371972,39033.805427741994
2460369.0712521295,-160.25731316113428,50.295511643484545,456.7468069847063,0.0,21147.08109910614,3767.0654046881637,44218.08280915347
2460369.0735669443,-140.82657265852626,51.780145132514306,457.5093694663635,0.0,18477.627870197015,5105.275968900544,48456.28222210373
2460369.075881759,-121.64716081787383,49.72243437897957,457.21528783969734,1387.2595778800714,17209.646746271388,4628.070566177073,50829.063575728156
